,SN,AB,m15B,src
0,1980N,0.33499999999999996,1.28,CfA3
1,1981B,0.365,1.1,CfA3
2,1981D,0.538,1.32,CfA3
3,1986G,1.939,1.65,CfA3
4,1989B,1.3639999999999999,1.02,CfA3
5,1990N,0.351,1.04,CfA3
6,1990af,0.11599999999999999,1.63,CfA3
7,1991T,0.48,0.8,CfA3
8,1991bg,0.152,1.87,CfA3
9,1992A,0.022,1.36,CfA3
10,1992ag,0.496,1.1,CfA3
11,1992al,0.052000000000000005,1.1,CfA3
12,1992bc,0.019,0.82,CfA3
13,1992bh,0.291,,CfA3
14,1992bo,0.054000000000000006,,CfA3
15,1992bp,0.056999999999999995,1.34,CfA3
16,1993H,0.046,1.76,CfA3
17,1993O,0.076,1.23,CfA3
18,1993ag,0.16199999999999998,,CfA3
19,1994D,0.013999999999999999,1.35,CfA3
20,1994S,0.075,,CfA3
21,1994T,0.08399999999999999,1.36,CfA3
22,1994ae,0.078,0.98,CfA3
23,1995D,0.10800000000000001,1.02,CfA3
24,1995E,2.319,1.11,CfA3
25,1995ac,0.16799999999999998,0.77,CfA3
26,1995ak,0.41100000000000003,,CfA3
27,1995al,0.28099999999999997,0.84,CfA3
28,1995bd,0.734,0.94,CfA3
29,1996X,0.049,1.29,CfA3
30,1996bo,0.994,1.23,CfA3
31,1997E,0.135,1.41,CfA3
32,1997bp,0.7609999999999999,1.16,CfA3
33,1997br,0.8720000000000001,1.08,CfA3
34,1997dg,0.146,,CfA3
35,1998aq,0.017,1.03,CfA3
36,1998bp,0.04,1.96,CfA3
37,1998bu,1.002,1.04,CfA3
38,1998de,0.22599999999999998,1.99,CfA3
39,1998es,0.32899999999999996,0.81,CfA3
40,1999aa,0.04,0.8,CfA3
41,1999ac,0.388,1.33,CfA3
42,1999aw,0.033,0.79,CfA3
43,1999by,0.048,1.98,CfA3
44,1999cc,0.10200000000000001,,CfA3
45,1999cl,3.4909999999999997,,CfA3
46,1999da,0.10500000000000001,1.92,CfA3
47,1999dk,0.4,1.19,CfA3
48,1999dq,0.475,0.86,CfA3
49,1999ee,1.021,0.9,CfA3
50,1999ek,0.496,1.21,CfA3
51,1999gp,0.237,0.8,CfA3
52,2000E,0.74,0.94,CfA3
53,2000cf,0.13699999999999998,1.47,CfA3
54,2000cn,0.11299999999999999,,CfA3
55,2000dk,0.027000000000000003,,CfA3
56,2001ba,0.04,0.95,CfA3
57,2001bt,0.677,1.26,CfA3
58,2001cz,0.318,0.93,CfA3
59,2001el,0.794,1.15,CfA3
60,2001ep,0.41100000000000003,,CfA3
61,2001fe,0.157,,CfA3
62,2001fh,0.122,,CfA3
63,2001V,0.272,0.65,CfA3
64,2002bo,1.4420000000000002,,CfA3
65,2002cd,1.63,0.98,CfA3
66,2002cr,0.194,1.26,CfA3
67,2002cx,1.117,1.32,CfA3
68,2002de,0.607,,CfA3
69,2002dj,0.543,,CfA3
70,2002dp,0.42600000000000005,1.12,CfA3
71,2002er,0.361,1.28,CfA3
72,2002fk,0.054000000000000006,,CfA3
73,2002ha,0.067,1.34,CfA3
74,2002hu,0.056999999999999995,1.04,CfA3
75,2003W,0.524,1.16,CfA3
76,2003cg,3.508,,CfA3
77,2003du,0.051000000000000004,,CfA3
78,2003iv,0.037,,CfA3
79,2003kf,0.181,0.97,CfA3
80,2004as,0.481,,CfA3
81,2005am,0.059,1.73,CfA3
82,2005cf,0.32999999999999996,1.06,CfA3
83,2005el,0.019,1.23,CfA3
84,2005eq,0.16499999999999998,0.86,CfA3
85,2005eu,0.08299999999999999,,CfA3
86,2005hc,0.183,0.97,CfA3
87,2005hk,1.286,1.47,CfA3
88,2005iq,0.049,1.05,CfA3
89,2005kc,0.991,1.24,CfA3
90,2005ke,0.10800000000000001,1.66,CfA3
91,2005ki,0.028999999999999998,,CfA3
92,2005lz,0.27499999999999997,1.35,CfA3
93,2005mc,0.122,1.87,CfA3
94,2005ms,0.11100000000000002,0.79,CfA3
95,2005mz,0.42200000000000004,1.96,CfA3
96,2006ac,0.16499999999999998,1.08,CfA3
97,2006ar,0.311,,CfA3
98,2006ax,0.06,1.08,CfA3
99,2006az,0.019,1.3,CfA3
100,2006br,2.702,1.47,CfA3
101,2006bt,0.6799999999999999,1.09,CfA3
102,2006bz,0.289,2.09,CfA3
103,2006cc,1.29,1.01,CfA3
104,2006cm,2.9050000000000002,0.99,CfA3
105,2006cp,0.6990000000000001,,CfA3
106,2006D,0.121,1.35,CfA3
107,2006gj,0.766,1.39,CfA3
108,2006gr,0.483,0.95,CfA3
109,2006kf,0.038,,CfA3
110,2006le,0.121,0.85,CfA3
111,2006lf,0.151,1.35,CfA3
112,2006mp,0.264,,CfA3
113,2006N,0.043,1.57,CfA3
114,2006nz,0.149,,CfA3
115,2006oa,0.295,0.98,CfA3
116,2006ob,0.033,1.7,CfA3
117,2006qo,0.7190000000000001,1.02,CfA3
118,2006S,0.42600000000000005,0.91,CfA3
119,2006sr,0.135,1.26,CfA3
120,2006td,0.272,1.48,CfA3
121,2006X,3.964,1.1,CfA3
122,2007af,0.34099999999999997,1.2,CfA3
123,2007au,0.078,1.95,CfA3
124,2007bc,0.133,1.35,CfA3
125,2007bd,0.068,,CfA3
126,2007ca,0.921,,CfA3
127,2007ci,0.118,,CfA3
128,2007co,0.623,1.14,CfA3
129,2007cq,0.173,1.17,CfA3
130,2007F,0.075,0.93,CfA3
131,2007qe,0.235,0.98,CfA3
132,2007S,1.323,0.88,CfA3
133,2008bf,0.16199999999999998,1.01,CfA3
