# For assumptions used for these MLCS31 distances (mu), see footnote 1 of
# Table 3 (p. 66) of http://arxiv.org/PS_cache/arxiv/pdf/0901/0901.4804v1.pdf
#
# SNIa  z_CMB +/-     Delta  +/-    A_V   +/-     mu    +/-
03D1au  0.504 0.001  -0.296 0.065  0.147 0.127  42.540 0.179
03D1aw  0.582 0.001  -0.262 0.141  0.144 0.113  43.098 0.207
03D1ax  0.496 0.001  0.178 0.118  0.117 0.115  42.322 0.194
03D1bp  0.346 0.001  0.157 0.121  0.268 0.224  41.516 0.255
03D1co  0.679 0.001  -0.244 0.112  0.172 0.162  43.589 0.261
03D1ew  0.868 0.001  -0.306 0.099  0.095 0.071  43.951 0.159
03D1fc  0.331 0.001  -0.123 0.153  0.136 0.123  41.313 0.206
03D1fl  0.688 0.001  -0.225 0.119  0.136 0.138  43.123 0.226
03D1fq  0.800 0.001  0.077 0.199  0.115 0.099  43.922 0.262
03D1gt  0.548 0.001  0.379 0.294  0.702 0.392  42.400 0.421
03D3af  0.532 0.001  -0.017 0.173  0.209 0.185  42.827 0.291
03D3aw  0.449 0.001  -0.005 0.148  0.076 0.077  42.072 0.233
03D3ay  0.371 0.001  -0.096 0.140  0.065 0.065  41.799 0.219
03D3ba  0.291 0.001  -0.097 0.089  0.845 0.279  40.546 0.307
03D3cc  0.463 0.001  -0.176 0.087  0.093 0.086  42.264 0.164
03D3cd  0.461 0.001  -0.214 0.151  0.078 0.071  42.127 0.166
03D4ag  0.285 0.001  -0.267 0.060  0.052 0.041  40.980 0.117
03D4at  0.633 0.001  -0.149 0.133  0.143 0.154  43.256 0.250
03D4cx  0.949 0.001  -0.272 0.136  0.054 0.046  44.232 0.153
03D4cy  0.927 0.001  -0.253 0.148  0.061 0.051  44.150 0.159
03D4cz  0.695 0.001  0.392 0.200  0.177 0.144  43.098 0.338
03D4dh  0.627 0.001  -0.244 0.086  0.146 0.152  42.944 0.233
03D4di  0.905 0.001  -0.281 0.098  0.074 0.057  43.835 0.148
03D4dy  0.604 0.001  -0.300 0.074  0.263 0.239  42.740 0.327
03D4fd  0.791 0.001  -0.229 0.152  0.121 0.105  43.752 0.204
03D4gf  0.581 0.001  -0.041 0.141  0.073 0.053  42.850 0.177
03D4gg  0.592 0.001  -0.139 0.183  0.126 0.127  42.908 0.256
03D4gl  0.571 0.001  0.149 0.331  0.143 0.144  42.463 0.365
04D1ag  0.557 0.001  -0.112 0.205  0.083 0.090  42.623 0.205
04D1aj  0.721 0.001  -0.281 0.113  0.136 0.131  43.448 0.219
04D1ak  0.526 0.001  0.490 0.184  0.228 0.215  42.470 0.288
04D2cf  0.369 0.001  0.067 0.114  0.118 0.101  41.805 0.162
04D2fp  0.415 0.001  -0.113 0.088  0.124 0.101  42.053 0.159
04D2fs  0.357 0.001  -0.089 0.096  0.327 0.177  41.622 0.215
04D2gb  0.430 0.001  0.564 0.107  0.110 0.107  41.791 0.168
04D2gp  0.707 0.001  0.181 0.234  0.137 0.143  43.430 0.322
04D2iu  0.691 0.001  0.302 0.243  0.180 0.171  43.401 0.385
04D2ja  0.741 0.001  -0.097 0.165  0.112 0.109  43.579 0.233
04D3co  0.620 0.001  0.016 0.150  0.153 0.128  43.208 0.252
04D3cp  0.830 0.001  -0.285 0.074  0.080 0.070  43.606 0.153
04D3cy  0.643 0.001  -0.207 0.108  0.147 0.119  43.331 0.211
04D3dd  1.010 0.001  -0.313 0.118  0.042 0.032  44.695 0.159
04D3df  0.470 0.001  0.737 0.129  0.254 0.204  42.003 0.200
04D3do  0.610 0.001  0.228 0.153  0.144 0.155  42.816 0.284
04D3ez  0.263 0.001  0.026 0.072  0.399 0.158  40.739 0.196
04D3fk  0.358 0.001  -0.066 0.077  0.614 0.163  41.393 0.200
04D3fq  0.730 0.001  -0.038 0.185  0.127 0.125  43.571 0.256
04D3gt  0.451 0.001  0.012 0.086  1.147 0.184  41.336 0.225
04D3gx  0.910 0.001  -0.162 0.136  0.064 0.054  44.205 0.165
04D3hn  0.552 0.001  0.089 0.127  0.635 0.304  42.200 0.384
04D3is  0.710 0.001  -0.323 0.115  0.264 0.231  43.721 0.341
04D3ki  0.930 0.001  -0.154 0.160  0.071 0.053  44.436 0.177
04D3kr  0.337 0.001  -0.238 0.066  0.157 0.121  41.443 0.160
04D3ks  0.752 0.001  -0.223 0.116  0.151 0.127  43.362 0.222
