#SN,zhel,tmax(B),+/-_x,ref.,Dm15,+/-.1_x,ref..1,M_B,+/-.2_x,B-V,+/-.3_x,Bm-Vm,+/-.4_x,Phot.,ref..2,n_spec,RA,DEC,z_CMB,+/-_y,m_B,+/-.1_y,x_1,+/-.2_y,c,+/-.3_y,mu,+/-.4_y
1994D,0.0029,49432.5,0.1,"B,M,SA,SN",1.37,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07,,26.0,188.50997916666665,7.701583333333334,,,,,,,,,,
1994M,0.0232,49474.5,0.9,"B,M,SA,SN",1.26,0.06,B,-19.21,0.08,-0.11,0.06,-0.1,0.06,CfA1,,9.0,187.785875,0.6054444444444445,0.024,0.001,16.274,0.021,-1.746,0.174,0.10400000000000001,0.021,35.275999999999996,0.205
1994S,0.0151,49518.3,0.3,"B,M,SA,SN",0.94,0.06,B,-19.55,0.09,-0.12,0.05,-0.11,0.05,CfA1,,4.0,187.84104166666665,29.134444444444448,0.016,0.001,14.762,0.021,0.226,0.26,-0.002,0.019,34.232,0.242
1994T,0.0346,49514.4,0.4,"M,SN",1.51,0.08,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1,,5.0,200.37804166666663,-2.149027777777777,0.036000000000000004,0.001,16.914,0.027000000000000003,-1.489,0.168,0.03,0.024,36.126,0.18899999999999997
1994ae,0.0043,49685.5,0.8,"B,M,SA,SN",0.96,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA1,Jha07",,18.0,161.75808333333333,17.275222222222222,,,,,,,,,,
1995D,0.0067,49768.7,0.1,"B,M,SA,SN",1.05,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA1,Jha07",,14.0,145.22813749999997,5.1406,,,,,,,,,,
1995E,0.012,49775.2,0.5,"B,M,SA,SN",1.16,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1,,7.0,117.9864583333333,73.00961111111111,,,,,,,,,,
1995ac,0.0499,49993.1,0.5,"B,M,SA,SN",0.77,0.04,B,-19.56,0.07,-0.13,0.05,-0.05,0.05,"CfA1,Jha07",,4.0,341.39224999999993,-8.751305555555557,0.049,0.001,17.039,0.011000000000000001,0.591,0.11900000000000001,0.011000000000000001,0.01,36.516,0.171
1995al,0.0051,50029.1,0.6,"B,M,SA,SN",0.87,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1,,13.0,147.73320833333332,33.552611111111105,,,,,,,,,,
1996C,0.027,50128.5,0.3,"B,M,SA,SN",0.93,0.06,B,-19.47,0.08,-0.12,0.06,-0.11,0.05,CfA1,,3.0,207.7025,49.31863888888889,0.027999999999999997,0.001,16.595,0.034,0.42100000000000004,0.235,0.11599999999999999,0.021,35.793,0.2
