#SN,RA,DEC
1993ac,86.59825,63.36863888888889
1993ae,22.453791666666664,-1.9769722222222224
1994D,188.50997916666662,7.701583333333334
1994M,187.78587499999998,0.6054444444444445
1994Q,252.46304166666664,40.43216666666667
1994S,187.84104166666665,29.134444444444444
1994T,200.37804166666663,-2.1490277777777775
1994ae,161.7580833333333,17.275222222222222
1995D,145.22813749999997,5.1406
1995E,117.9864583333333,73.00961111111111
1995Y,17.748041666666666,33.14505555555556
1995ac,341.39224999999993,-8.751305555555556
1995ak,41.45345833333332,3.2305833333333336
1995al,147.73320833333332,33.552611111111105
1995bd,71.33849999999998,11.067361111111111
1996C,207.7025,49.31863888888889
1996V,170.38012499999996,2.811222222222222
1996X,199.5047083333333,-26.845916666666664
1996Z,144.18674999999996,-21.147694444444443
1996ab,230.28479166666662,27.92688888888889
1996ac,186.04683333333332,1.4040833333333333
1996ai,197.7422083333333,37.05983333333333
1996bk,206.74158333333332,60.97025
1996bl,9.074874999999999,11.394583333333333
1996bo,27.09525,11.520861111111111
1996bt,102.99166666666665,16.29527777777778
1996bv,94.05433333333332,57.05277777777778
1996by,89.60291666666666,68.45294444444444
1996ca,337.74691666666666,-13.997472222222221
1997E,101.90874999999998,74.4975
1997Y,191.3808333333333,54.738055555555555
1997bp,191.72395833333331,-11.642555555555555
1997bq,154.2722083333333,73.38391666666668
1997br,200.17666666666668,-22.03675
1997by,201.86474999999996,-27.322694444444444
1997bz,170.60604166666667,1.1893055555555556
1997cn,212.49066666666664,17.542305555555558
1997ct,211.86199999999997,70.43497222222223
1997cw,6.321958333333333,12.885055555555555
1997do,111.67708333333331,47.093333333333334
1997dt,345.01225874999994,15.980679444444444
1998D,210.74699999999996,34.74841666666667
1998V,275.6558333333333,15.702333333333332
1998ab,192.19683333333333,41.924527777777776
1998an,107.07137499999999,46.11508333333334
1998aq,179.10779166666663,55.12866666666667
1998bn,187.32833333333332,-23.164027777777775
1998bp,268.71141666666665,18.330694444444443
1998bu,161.6917083333333,11.835416666666667
1998cn,173.97666666666666,70.53611111111111
1998co,326.901,-13.181194444444444
1998cs,247.66341666666665,41.21511111111111
1998de,12.028666666666666,27.624583333333334
