idx,SN,zhel_spec,tmax(B)_spec,tmax(B)_err_spec,ref_spec,Dm15_spec,Dm15_err_spec,ref1_spec,M_B_spec,M_B_err_spec,B-V_spec,B-V_err_spec,Bm-Vm_spec,Bm-Vm_err_spec,Phot_ref_spec,ref..2,n_spec,RA,DEC,z_CMB,z_CMB_salt2_err,m_B_salt2,m_B_salt2_err,x_1_salt2,x_1_salt2_err,c_salt2,c_salt2_err,mu_salt2,mu_salt2_err,EW5972_spec,EW6355_spec,v6355_spec,Phase_spec,BClass_spec,WClass_spec,SNIa_salt,z_cmb_salt,z_err_salt,m_B_salt,m_B_err_salt,s_salt,s_err_salt,c_salt,c_err_salt,mu_salt,mu_err_salt,SNIa_ml31,z_ml31,z_err_ml31,x1_ml31,x1_err_ml31,c_ml31,c_err_ml31,mu_ml31,mu_err_ml31
0,1994D,0.0029,49432.5,0.1,"B,M,SA,SN",1.37,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07,,26.0,188.50997916666665,7.701583333333334,,,,,,,,,,,19.7,100.4,-11248.0,-0.1,CN,N,,,,,,,,,,,,,,,,,,,,
1,1994M,0.0232,49474.5,0.9,"B,M,SA,SN",1.26,0.06,B,-19.21,0.08,-0.11,0.06,-0.1,0.06,CfA1,,9.0,187.785875,0.6054444444444445,0.024,0.001,16.274,0.021,-1.746,0.174,0.10400000000000001,0.021,35.275999999999996,0.205,12.8,119.3,-12183.0,1.6,BL,HV,1994m,0.024,0.001,16.3,0.159,0.78,0.02,0.11,0.02,35.207,0.205,,,,,,,,,
2,1994S,0.0151,49518.3,0.3,"B,M,SA,SN",0.94,0.06,B,-19.55,0.09,-0.12,0.05,-0.11,0.05,CfA1,,4.0,187.84104166666665,29.13444444444445,0.016,0.001,14.762,0.021,0.226,0.26,-0.002,0.019,34.232,0.242,5.1,86.4,-10664.0,0.9,CN,N,1994s,0.015,0.001,14.77,0.196,1.09,0.05,-0.01,0.02,34.372,0.28,,,,,,,,,
3,1994T,0.0346,49514.4,0.4,"M,SN",1.51,0.08,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1,,5.0,200.37804166666663,-2.1490277777777766,0.036000000000000004,0.001,16.914,0.027000000000000003,-1.489,0.168,0.03,0.024,36.126,0.18899999999999997,16.8,159.6,-13459.0,-0.2,BL,HV,1994t,0.036000000000000004,0.001,17.05,0.084,0.84,0.04,0.02,0.05,36.264,0.181,,,,,,,,,
4,1994ae,0.0043,49685.5,0.8,"B,M,SA,SN",0.96,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA1,Jha07",,18.0,161.75808333333333,17.275222222222222,,,,,,,,,,,7.4,81.6,-10979.0,-0.0,CN,N,,,,,,,,,,,,,,,,,,,,
5,1995D,0.0067,49768.7,0.1,"B,M,SA,SN",1.05,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA1,Jha07",,14.0,145.22813749999997,5.1406,,,,,,,,,,,12.1,80.4,-10157.0,3.6,CN,N,,,,,,,,,,,,,,,,,,,,
6,1995E,0.012,49775.2,0.5,"B,M,SA,SN",1.16,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1,,7.0,117.9864583333333,73.00961111111111,,,,,,,,,,,16.4,94.2,-10935.0,-0.9,CN,N,,,,,,,,,,,,,,,,,,,,
7,1995ac,0.0499,49993.1,0.5,"B,M,SA,SN",0.77,0.04,B,-19.56,0.07,-0.13,0.05,-0.05,0.05,"CfA1,Jha07",,4.0,341.39224999999993,-8.751305555555557,0.049,0.001,17.039,0.011000000000000001,0.591,0.11900000000000001,0.011000000000000001,0.01,36.516,0.171,,,,,,,1995ac,0.049,0.001,17.03,0.145,1.04,0.01,0.01,0.01,36.518,0.159,sn95ac,0.049,0.001,-0.23800000000000002,0.047,0.22399999999999998,0.10400000000000001,36.535,0.147
8,1995al,0.0051,50029.1,0.6,"B,M,SA,SN",0.87,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1,,13.0,147.73320833333332,33.552611111111105,,,,,,,,,,,15.0,112.9,-12149.0,6.4,BL,HV,,,,,,,,,,,,,,,,,,,,
9,1996C,0.027000000000000003,50128.5,0.3,"B,M,SA,SN",0.93,0.06,B,-19.47,0.08,-0.12,0.06,-0.11,0.05,CfA1,,3.0,207.7025,49.31863888888889,0.027999999999999997,0.001,16.595,0.034,0.42100000000000004,0.235,0.11599999999999999,0.021,35.793,0.2,7.6,81.6,-10567.0,2.0,CN,N,1996c,0.028,0.001,16.65,0.147,1.01,0.02,0.12,0.02,35.816,0.188,,,,,,,,,
