#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-22T13:56:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b548ca019622	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/ApJ/700/331/properties
#-nav=cat:J/ApJ/700/331&tab:{J/ApJ/700/331/properties}&key:source=J/ApJ/700/331/properties&HTTPPRM:&&-ref=VIZ5b548ca019622&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=SN&-out=zCMB&-out=mB&-out=mV&-out=B-V&-out=U-B&-out=AV&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-out=m15B&-out=m15V&-out=Del&-out=Dt(B)&-out=Dt(V)&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/700/331/properties
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/700/331/properties
#-out=SN
#-out=zCMB
#-out=mB
#-out=mV
#-out=B-V
#-out=U-B
#-out=AV
#-out=Simbad
#-out=m15B
#-out=m15V
#-out=Del
#-out=Dt(B)
#-out=Dt(V)
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_17000331
#Name: J/ApJ/700/331
#Title: Light curves of type Ia supernovae (CfA3) (Hicken+, 2009)
#Table	J_ApJ_700_331_properties:
#Name: J/ApJ/700/331/properties
#Title: Direct fit and MLCS2K2 (Jha et al. 2007,  Cat. J/ApJ/659/122) light-curve properties
#Column	SN	(A6)	Supernova designation	[ucd=meta.id;meta.main]
#Column	zCMB	(F7.4)	Redshift in the cosmic microwave background (CMB) reference frame	[ucd=src.redshift]
#Column	mU	(F5.2)	? The peak U magnitude (1)	[ucd=phot.mag;em.opt.U]
#Column	e_mU	(F5.2)	? mU uncertainty	[ucd=stat.error]
#Column	mB	(F5.2)	? The peak B magnitude (1)	[ucd=phot.mag;em.opt.B]
#Column	e_mB	(F5.2)	? mB uncertainty	[ucd=stat.error]
#Column	mV	(F5.2)	The peak V magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	e_mV	(F5.2)	? mV uncertainty	[ucd=stat.error]
#Column	B-V	(F6.3)	? B-V color index (1)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F5.2)	? B-V uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	? U-B color index (1)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F5.2)	? U-B uncertainty	[ucd=stat.error;phot.color;em.opt.U]
#Column	AV	(F6.3)	Host-galaxy extinction (2)	[ucd=phys.absorption]
#Column	e_AV	(F6.3)	AV uncertainty	[ucd=stat.error]
#Column	E(B-V)	(F6.3)	B-V host-galaxy color excess (3)	[ucd=phot.color.excess]
#Column	e_E(B-V)	(F7.4)	E(B-V) uncertainty	[ucd=stat.error]
#Column	E(U-B)	(F6.3)	U-B host-galaxy color excess (3)	[ucd=phot.color.excess]
#Column	e_E(U-B)	(F7.4)	E(U-B) uncertainty	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	m15U	(F5.2)	? Decline rate {Delta}m_15_ in U band (1)	[ucd=src.var.amplitude]
#Column	e_m15U	(F5.2)	? m15U uncertainty	[ucd=stat.error]
#Column	m15B	(F5.2)	? Decline rate {Delta}m_15_ in B band (1)	[ucd=src.var.amplitude]
#Column	e_m15B	(F5.2)	? m15B uncertainty	[ucd=stat.error]
#Column	m15V	(F5.2)	? Decline rate {Delta}m_15_ in V band (1)	[ucd=src.var.amplitude]
#Column	e_m15V	(F5.2)	? m15V uncertainty	[ucd=stat.error]
#Column	Del	(F6.3)	Light-curve shape parameter {Delta} (2)	[ucd=stat.fit.param]
#Column	e_Del	(F6.3)	Delta uncertainty	[ucd=stat.error]
#Column	Dt(U)	(F5.2)	? Time between the closest point before and the closest point after maximum light in U-band	[ucd=time.interval]
#Column	Dt(B)	(F5.2)	? Time between the closest point before and the closest point after maximum light in B-band	[ucd=time.interval]
#Column	Dt(V)	(F5.2)	? Time between the closest point before and the closest point after maximum light in V-band	[ucd=time.interval]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
SN	zCMB	mU	e_mU	mB	e_mB	mV	e_mV	B-V	e_B-V	U-B	e_U-B	AV	e_AV	E(B-V)	e_E(B-V)	E(U-B)	e_E(U-B)	Simbad	m15U	e_m15U	m15B	e_m15B	m15V	e_m15V	Del	e_Del	Dt(U)	Dt(B)	Dt(V)	_RA	_DE
 	 	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	 	mag	mag	mag	mag	mag	mag	 	 	d	d	d	deg	deg
------	-------	-----	-----	-----	-----	-----	-----	------	-----	------	-----	------	------	------	-------	------	-------	------	-----	-----	-----	-----	-----	-----	------	------	-----	-----	-----	---------	---------
1980N 	 0.0055	12.10	 0.06	12.40	 0.03	12.38	 0.03	-0.020	 0.05	-0.290	 0.07	 0.211	 0.051	 0.124	 0.0300	 0.088	 0.0213	Simbad	     	     	 1.28	 0.05	 0.73	 0.05	-0.040	 0.078	 2.02	 2.02	 0.98	050.74583	-37.21333
1981B 	 0.0072	11.62	 0.10	11.93	 0.04	11.89	 0.05	 0.010	 0.06	-0.250	 0.11	 0.230	 0.063	 0.135	 0.0371	 0.096	 0.0263	Simbad	 1.39	 0.18	 1.10	 0.06	 0.73	 0.09	-0.136	 0.070	 0.66	 0.36	 3.50	188.62321	+02.19981
1981D 	 0.0055	12.28	 0.16	12.49	 0.09	12.34	 0.05	 0.110	 0.10	-0.150	 0.18	 0.339	 0.152	 0.199	 0.0894	 0.142	 0.0635	Simbad	 1.34	 0.32	 1.32	 0.18	 0.86	 0.13	 0.290	 0.223	 1.00	 5.99	 5.99	050.66250	-37.23500
1986G 	 0.0027	12.58	 0.10	12.03	 0.08	11.11	 0.06	 0.880	 0.09	 0.640	 0.10	 1.221	 0.086	 0.718	 0.0506	 0.510	 0.0359	Simbad	 2.05	 0.24	 1.65	 0.09	 1.01	 0.09	 1.203	 0.064	 5.09	 0.99	 3.94	201.40192	-43.03156
1989B 	 0.0035	12.20	 0.07	12.23	 0.09	11.88	 0.05	 0.320	 0.10	 0.040	 0.11	 0.859	 0.081	 0.505	 0.0476	 0.359	 0.0338	Simbad	 1.24	 0.10	 1.02	 0.13	 0.64	 0.19	 0.003	 0.115	 0.99	 3.99	 3.99	170.05804	+13.00525
1990N 	 0.0043	     	     	12.67	 0.05	12.65	 0.04	 0.010	 0.06	      	     	 0.221	 0.051	 0.130	 0.0300	 0.092	 0.0213	Simbad	     	     	 1.04	 0.13	 0.62	 0.11	-0.299	 0.056	     	 7.90	 7.02	190.73617	+13.25650
1990af	 0.0502	     	     	17.77	 0.04	17.76	 0.04	-0.010	 0.06	      	     	 0.073	 0.064	 0.043	 0.0376	 0.030	 0.0267	Simbad	     	     	 1.63	 0.06	 0.89	 0.07	 0.507	 0.119	     	 0.99	 1.90	323.74217	-62.73539
1991T 	 0.0069	11.16	 0.03	11.60	 0.02	11.45	 0.02	 0.120	 0.03	-0.450	 0.04	 0.302	 0.039	 0.178	 0.0229	 0.126	 0.0163	Simbad	 1.37	 0.04	 0.80	 0.03	 0.62	 0.05	-0.351	 0.036	 1.00	 1.00	 3.05	188.54250	+02.66567
1991bg	 0.0046	     	     	14.60	 0.05	13.85	 0.04	 0.710	 0.06	      	     	 0.096	 0.057	 0.056	 0.0335	 0.040	 0.0238	Simbad	     	     	 1.87	 0.08	 1.41	 0.07	 1.435	 0.048	     	 0.99	 0.15	186.26542	+12.87100
1992A 	 0.0059	12.36	 0.07	12.53	 0.02	12.48	 0.01	 0.020	 0.02	-0.160	 0.07	 0.014	 0.014	 0.008	 0.0082	 0.006	 0.0058	Simbad	 1.44	 0.14	 1.36	 0.03	 0.83	 0.02	 0.413	 0.055	 7.04	 0.96	 1.11	054.11421	-34.95872
1992ag	 0.0259	     	     	16.20	 0.08	16.16	 0.06	 0.030	 0.08	      	     	 0.312	 0.081	 0.184	 0.0476	 0.130	 0.0338	Simbad	     	     	 1.10	 0.09	 0.60	 0.08	 0.050	 0.086	     	 0.98	 1.05	201.04104	-23.87881
1992al	 0.0141	     	     	14.45	 0.04	14.55	 0.04	-0.100	 0.05	      	     	 0.033	 0.027	 0.019	 0.0159	 0.014	 0.0113	Simbad	     	     	 1.10	 0.08	 0.61	 0.08	-0.064	 0.061	     	 3.78	 3.78	311.48537	-51.39442
1992bc	 0.0198	     	     	15.08	 0.04	15.16	 0.04	-0.080	 0.05	      	     	 0.012	 0.012	 0.007	 0.0071	 0.005	 0.0050	Simbad	     	     	 0.82	 0.08	 0.61	 0.08	-0.253	 0.044	     	 3.85	 3.85	046.31687	-39.55961
1992bh	 0.0451	     	     	17.59	 0.04	17.54	 0.04	 0.020	 0.06	      	     	 0.183	 0.079	 0.108	 0.0465	 0.076	 0.0330	Simbad	     	     	     	     	     	     	-0.170	 0.086	     	 2.81	 2.81	074.86479	-58.82894
1992bo	 0.0181	     	     	15.69	 0.04	15.74	 0.04	-0.070	 0.06	      	     	 0.034	 0.029	 0.020	 0.0171	 0.014	 0.0121	Simbad	     	     	     	     	     	     	 0.580	 0.079	     	 4.02	 2.94	020.49350	-34.21208
1992bp	 0.0789	     	     	18.30	 0.07	18.41	 0.06	-0.110	 0.09	      	     	 0.036	 0.031	 0.021	 0.0182	 0.015	 0.0129	Simbad	     	     	 1.34	 0.15	 0.58	 0.13	 0.009	 0.099	     	 6.48	 6.48	054.15812	-18.35381
