,SN,dm15B,src
0,1980N,1.28,CfA3
1,1981B,1.1,CfA3
2,1981D,1.32,CfA3
3,1986G,1.65,CfA3
4,1989B,1.02,CfA3
5,1990N,1.04,CfA3
6,1990af,1.63,CfA3
7,1991T,0.8,CfA3
8,1991bg,1.87,CfA3
9,1992A,1.36,CfA3
10,1992ag,1.1,CfA3
11,1992al,1.1,CfA3
12,1992bc,0.82,CfA3
13,1992bh,,CfA2
14,1992bo,,CfA2
15,1992bp,1.34,CfA3
16,1993H,1.76,CfA3
17,1993O,1.23,CfA3
18,1993ag,,CfA2
19,1994D,1.35,CfA3
20,1994S,,CfA2
21,1994T,1.36,CfA3
22,1994ae,0.98,CfA3
23,1995D,1.02,CfA3
24,1995E,1.11,CfA3
25,1995ac,0.77,CfA3
26,1995ak,,CfA2
27,1995al,0.84,CfA3
28,1995bd,0.94,CfA3
29,1996X,1.29,CfA3
30,1996bo,1.23,CfA3
31,1997E,1.41,CfA3
32,1997bp,1.16,CfA3
33,1997br,1.08,CfA3
34,1997dg,1.13,CfA2
35,1998aq,1.03,CfA3
36,1998bp,1.96,CfA3
37,1998bu,1.04,CfA3
38,1998de,1.99,CfA3
39,1998es,0.81,CfA3
40,1999aa,0.8,CfA3
41,1999ac,1.33,CfA3
42,1999aw,0.79,CfA3
43,1999by,1.98,CfA3
44,1999cc,1.46,CfA2
45,1999cl,1.19,CfA2
46,1999da,1.92,CfA3
47,1999dk,1.19,CfA3
48,1999dq,0.86,CfA3
49,1999ee,0.9,CfA3
50,1999ek,1.21,CfA3
51,1999gp,0.8,CfA3
52,2000E,0.94,CfA3
53,2000cf,1.47,CfA3
54,2000cn,1.58,CfA2
55,2000dk,1.57,CfA2
56,2001ba,0.95,CfA3
57,2001bt,1.26,CfA3
58,2001cz,0.93,CfA3
59,2001el,1.15,CfA3
60,2001ep,,CfA2
61,2001fe,,CfA2
62,2001fh,,CfA2
63,2001V,0.65,CfA3
64,2002bo,,CfA2
65,2002cd,0.98,CfA3
66,2002cr,1.26,CfA3
67,2002cx,1.32,CfA3
68,2002de,,CfA2
69,2002dj,,CfA2
70,2002dp,1.12,CfA3
71,2002er,1.28,CfA3
72,2002fk,,CfA2
73,2002ha,1.34,CfA3
74,2002hu,1.04,CfA3
75,2003W,1.16,CfA3
76,2003cg,,CfA2
77,2003du,,CfA2
78,2003iv,,CfA2
79,2003kf,0.97,CfA3
80,2004as,,CfA2
81,2005am,1.73,CfA3
82,2005cf,1.06,CfA3
83,2005el,1.23,CfA3
84,2005eq,0.86,CfA3
85,2005eu,,CfA2
86,2005hc,0.97,CfA3
87,2005hk,1.47,CfA3
88,2005iq,1.05,CfA3
89,2005kc,1.24,CfA3
90,2005ke,1.66,CfA3
91,2005ki,,CfA2
92,2005lz,1.35,CfA3
93,2005mc,1.87,CfA3
94,2005ms,0.79,CfA3
95,2005mz,1.96,CfA3
96,2006ac,1.08,CfA3
97,2006ar,,CfA2
98,2006ax,1.08,CfA3
99,2006az,1.3,CfA3
100,2006br,1.47,CfA3
101,2006bt,1.09,CfA3
102,2006bz,2.09,CfA3
103,2006cc,1.01,CfA3
104,2006cm,0.99,CfA3
105,2006cp,,CfA2
106,2006D,1.35,CfA3
107,2006gj,1.39,CfA3
108,2006gr,0.95,CfA3
109,2006kf,,CfA2
110,2006le,0.85,CfA3
111,2006lf,1.35,CfA3
112,2006mp,,CfA2
113,2006N,1.57,CfA3
114,2006nz,,CfA2
115,2006oa,0.98,CfA3
116,2006ob,1.7,CfA3
117,2006qo,1.02,CfA3
118,2006S,0.91,CfA3
119,2006sr,1.26,CfA3
120,2006td,1.48,CfA3
121,2006X,1.1,CfA3
122,2007af,1.2,CfA3
123,2007au,1.95,CfA3
124,2007bc,1.35,CfA3
125,2007bd,,CfA2
126,2007ca,,CfA2
127,2007ci,,CfA2
128,2007co,1.14,CfA3
129,2007cq,1.17,CfA3
130,2007F,0.93,CfA3
131,2007qe,0.98,CfA3
132,2007S,0.88,CfA3
133,2008bf,1.01,CfA3
134,1997Y,1.25,CfA2
135,1997bq,1.01,CfA2
136,1997cn,1.9,CfA2
137,1997cw,1.02,CfA2
138,1997do,0.99,CfA2
139,1997dt,1.04,CfA2
140,1998D,,CfA2
141,1998V,1.06,CfA2
142,1998ab,0.88,CfA2
143,1998co,,CfA2
144,1998dh,1.23,CfA2
145,1998dk,1.05,CfA2
146,1998dm,1.07,CfA2
147,1998dx,1.55,CfA2
148,1998ec,1.08,CfA2
149,1998ef,0.97,CfA2
150,1998eg,1.15,CfA2
151,1999X,1.11,CfA2
152,1999cw,,CfA2
153,1999ef,1.06,CfA2
154,1999ej,1.41,CfA2
155,1999gd,1.16,CfA2
156,1999gh,1.69,CfA2
157,2000B,1.46,CfA2
158,2000ce,1.06,CfA2
159,2000cx,,CfA2
160,2000fa,1.0,CfA2
