idx_kpr,sn_kpr,file_kpr,phase_kpr,low_wl_kpr,high_wl_kpr,snr_kpr,src_kpr
0,1991bg,sn1991bg-19911213-noz.flm,0.681687715270907,3342.0,8600.0,190.93699321546742,bsnip
1,1991bg,sn1991bg-19911214-noz.flm,1.6783071820396274,3944.0,9816.0,171.0078543593164,bsnip
2,1994d,sn1994d-19940315.flm,-6.572473848822093,3286.0,7214.0,232.34850134894592,bsnip
3,1994d,sn1994d-19940316.flm,-5.574527622156571,3286.0,7214.0,203.90915657386088,bsnip
4,1994d,sn1994d-19940317.flm,-4.118524077449018,3166.0,9828.0,279.03758596099834,bsnip
5,1994d,sn1994d-19940318.flm,-3.5786351688255262,3166.0,9828.0,285.5808680466972,bsnip
6,1994s,sn1994s-19940616-uoi.flm,0.9988405962732136,3126.0,11080.0,56.52432236696379,bsnip
7,1995ac,sn1995ac-19950926-uoi.flm,-5.848265090872368,3100.0,9900.0,17.818872291849274,bsnip
8,1995d,sn1995d-19950224-uohp.flm,3.670915125858948,3152.0,9784.0,183.75631135658716,bsnip
9,1995e,sn1995e-19950224-uoi2.flm,-2.176803499498083,3138.0,11160.0,96.99597904598846,bsnip
10,1997bp,sn1997bp-19970416-uoi.flm,6.223272161792634,3186.0,10332.0,99.36164578370561,bsnip
11,1997br,sn1997br-19970416-uoi.flm,-4.418660365560601,3194.0,10356.0,171.3237064153759,bsnip
12,1997do,sn1997do-19971108-uoi.flm,-5.8052508612779885,3290.0,10344.0,151.72097743197182,bsnip
13,1997y,sn1997y-19970209-uohp.flm,2.7720191442561264,3204.0,9714.0,82.81363297469723,bsnip
14,1998dk,sn1998dk-19980831-ui.flm,-0.7283716550889345,3310.0,10016.0,225.83331360626673,bsnip
15,1998dm,sn1998dm-19980831-ui-corrected.flm,-4.865205879574189,3332.0,10082.0,266.82544507498267,bsnip
16,1998dx,sn1998dx-19980921-ui.flm,4.71152240889689,3184.0,9624.0,35.60293061003145,bsnip
17,1998es,sn1998es-19981125-ui-corrected.flm,0.4967508339381827,3348.0,10042.0,173.12849713145582,bsnip
18,1999aa,sn1999aa-19990223-ui.flm,0.4603511483683075,3346.0,10348.0,87.38341575698847,bsnip
19,1999ac,sn1999ac-19990309-red3-corrected.flm,-3.1996037642428936,5056.0,8616.0,362.19583524618713,bsnip
