SN,idx_kpr,file_kpr,phase_kpr,low_wl_kpr,high_wl_kpr,snr_kpr,src_kpr,z_uni,m_b_uni,m_b_err_uni,x1_uni,x1_err_uni,c_uni,c_err_uni,mu_uni,mu_err_uni,sn_kpr
1980n,1006,sn1980n-19801211.724-iue.flm,-1.798441350830381,1928.0,3178.0,1.8545015694418048,uv,,,,,,,,,,1980n
1980n,1007,sn1980n-19801213.495-iue.flm,0.18988518408314192,1918.0,3190.0,1.8133415795473595,uv,,,,,,,,,,1980n
1980n,1008,sn1980n-19801216.147-iue.flm,3.1723749864534265,1926.0,3202.0,1.2276583981439089,uv,,,,,,,,,,1980n
1980n,1009,sn1980n-19801217.712-iue.flm,4.166538253910187,1926.0,3170.0,1.8470844294490505,uv,,,,,,,,,,1980n
1981b,1010,sn1981b-19810309.295-iue.flm,0.9592149744853864,1952.0,3142.0,3.7561441406129847,uv,,,,,,,,,,1981b
1981b,1011,sn1981b-19810310.460-iue.flm,1.95322012939612,1934.0,3190.0,2.198765789748032,uv,,,,,,,,,,1981b
1981b,1012,sn1981b-19810311.597-iue.flm,2.9472252843068527,1904.0,3228.0,2.536486283153971,uv,,,,,,,,,,1981b
1989b,1013,sn1989b-19890201.480-iue.flm,-6.496246601992612,1276.0,3288.0,2.5962152434362413,uv,,,,,,,,,,1989b
1990n,1014,sn1990n-19900704.333-iue.flm,-5.61792713737107,2010.0,3282.0,1.746991399861988,uv,,,,,,,,,,1990n
1990n,1015,sn1990n-19900709.730-iue.flm,-0.6348447022383455,1912.0,3278.0,3.4927540757394264,uv,,,,,,,,,,1990n
1990n,1016,sn1990n-19900714.301-iue.flm,4.348237732894379,2020.0,3286.0,7.327377584453932,uv,,,,,,,,,,1990n
1991bg,0,sn1991bg-19911213-noz.flm,0.681687715270907,3342.0,8600.0,190.93699321546745,bsnip,,,,,,,,,,1991bg
1991bg,1,sn1991bg-19911214-noz.flm,1.6783071820396274,3944.0,9816.0,171.0078543593164,bsnip,,,,,,,,,,1991bg
1991bg,1017,sn1991bg-19911214.824-iue.flm,1.6783071820396274,2062.0,3222.0,0.663971673559244,uv,,,,,,,,,,1991bg
1991t,1018,sn1991t-19910427.424-iue.flm,-0.7148602443224511,1910.0,3270.0,7.9489272521741245,uv,,,,,,,,,,1991t
1991t,1019,sn1991t-19910429.672-iue.flm,1.2736244408656243,1922.0,3278.0,7.094614851540477,uv,,,,,,,,,,1991t
1992a,1020,sn1992a-19920114.083-iue.flm,-5.3723636313070635,1908.0,3274.0,3.5355288722612457,uv,,,,,,,,,,1992a
1992a,1021,sn1992a-19920118.952-iue.flm,-1.3972518064425408,1964.0,3260.0,6.0291413096592725,uv,,,,,,,,,,1992a
1992a,1022,sn1992a-19920121.574-iue.flm,1.5840820622058516,1922.0,3274.0,4.574586110711997,uv,,,,,,,,,,1992a
1992a,1023,sn1992a-19920124.214-hst.flm,4.565415930854244,1656.0,4700.0,20.870133859343948,uv,,,,,,,,,,1992a
1993ac,151,sn1993ac-19931016.49-mmt.flm,6.749285033359839,3056.0,7740.0,27.600569171898197,cfa,0.0489,17.72,0.08,-1.16,0.37,0.07,0.04,36.73,0.17,1993ac
1994ae,152,sn1994ae-19941129.51-fast.flm,0.8384232862649844,3488.0,6928.0,235.56937536744232,cfa,0.0043,13.08,0.51,0.21,0.10,0.12,0.01,32.13,0.53,1994ae
1994ae,153,sn1994ae-19941130.49-fast.flm,1.8142603652818239,3488.0,6930.0,260.88863467595166,cfa,0.0043,13.08,0.51,0.21,0.10,0.12,0.01,32.13,0.53,1994ae
1994ae,154,sn1994ae-19941201.50-fast.flm,2.819970007948246,3488.0,6934.0,284.9919553077053,cfa,0.0043,13.08,0.51,0.21,0.10,0.12,0.01,32.13,0.53,1994ae
1994ae,155,sn1994ae-19941202.53-fast.flm,3.84559469304048,3488.0,6928.0,166.4692359287827,cfa,0.0043,13.08,0.51,0.21,0.10,0.12,0.01,32.13,0.53,1994ae
1994ae,156,sn1994ae-19941203.54-fast.flm,4.8513043357069,3488.0,6910.0,190.81151504862927,cfa,0.0043,13.08,0.51,0.21,0.10,0.12,0.01,32.13,0.53,1994ae
1994ae,157,sn1994ae-19941204.53-fast.flm,5.837098935940268,3488.0,6912.0,180.03280790838605,cfa,0.0043,13.08,0.51,0.21,0.10,0.12,0.01,32.13,0.53,1994ae
1994d,2,sn1994d-19940315.flm,-6.572473848822093,3286.0,7214.0,232.34850134894592,bsnip,,,,,,,,,,1994d
1994d,3,sn1994d-19940316.flm,-5.574527622156571,3286.0,7214.0,203.90915657386088,bsnip,,,,,,,,,,1994d
1994d,4,sn1994d-19940317.flm,-4.118524077449019,3166.0,9828.0,279.0375859609984,bsnip,,,,,,,,,,1994d
1994d,5,sn1994d-19940318.flm,-3.5786351688255262,3166.0,9828.0,285.5808680466972,bsnip,,,,,,,,,,1994d
1994d,158,sn1994D-19940315.36-mmt.flm,-6.2132132072219255,3606.0,7898.0,179.5778002432051,cfa,,,,,,,,,,1994d
1994d,159,sn1994D-19940316.37-fast.flm,-5.2052875182877125,3748.0,7570.0,347.8195071797883,cfa,,,,,,,,,,1994d
1994d,160,sn1994D-19940317.35-fast.flm,-4.227300216159568,3750.0,7570.0,260.98188747364236,cfa,,,,,,,,,,1994d
1994d,161,sn1994D-19940318.36-fast.flm,-3.219374527225357,3750.0,7570.0,278.9700552706152,cfa,,,,,,,,,,1994d
1994d,162,sn1994D-19940321.35-fast.flm,-0.235515309497478,3750.0,7570.0,272.60335766696966,cfa,,,,,,,,,,1994d
1994d,923,1994D_19940316_3331_10270_00.dat,-5.574527622156571,3378.0,10198.0,298.2936382926456,other,,,,,,,,,,1994d
1994d,924,1994D_19940317_2999_10549_00.dat,-4.576581395491049,3046.0,10476.0,641.1827861499141,other,,,,,,,,,,1994d
1994d,925,1994D_19940319_3402_9132_00.dat,-2.5806889421600037,3448.0,9062.0,235.75180292246188,other,,,,,,,,,,1994d
1994d,926,1994D_19940323_3465_9203_00.dat,1.4110959645020862,3512.0,9134.0,210.49791485745976,other,,,,,,,,,,1994d
1994d,927,1994D_19940323_4439_7013_00.dat,1.4110959645020862,4484.0,6948.0,219.31910837693215,other,,,,,,,,,,1994d
