SNIa_uni,z_uni,m_b_uni,m_b_err_uni,s_uni,s_err_uni,c_uni,c_err_uni,mu_uni,mu_err_uni
1993ah,0.0285,16.86,0.19,-2.26,0.93,0.23,0.09,35.35,0.22
1993ag,0.05,17.79,0.05,-1.09,0.24,0.12,0.02,36.68,0.17
1993o,0.0529,17.60,0.05,-1.03,0.14,-0.01,0.02,36.82,0.16
1993b,0.0701,18.43,0.04,-0.53,0.21,0.09,0.02,37.45,0.16
1992bs,0.0627,18.25,0.05,-0.27,0.23,0.02,0.02,37.48,0.16
1992br,0.0876,19.19,0.11,-2.97,0.38,-0.04,0.07,38.23,0.19
1992bp,0.0786,18.27,0.04,-1.27,0.20,-0.02,0.02,37.49,0.16
1992bo,0.0172,15.75,0.13,-2.68,0.18,0.03,0.02,34.65,0.2
1992bl,0.0422,17.30,0.08,-1.95,0.24,0.02,0.04,36.34,0.17
1992bh,0.0453,17.58,0.05,-0.02,0.25,0.10,0.02,36.64,0.16
1992bg,0.0365,16.71,0.09,-0.66,0.22,0.01,0.03,35.91,0.17
1992bc,0.0196,15.07,0.11,0.51,0.10,-0.05,0.01,34.59,0.18
1992aq,0.1009,19.27,0.05,-1.36,0.43,-0.02,0.03,38.46,0.17
1992al,0.0135,14.44,0.16,-0.41,0.13,-0.05,0.01,33.83,0.22
1992ag,0.0273,16.26,0.09,-0.13,0.21,0.19,0.02,35.09,0.18
1992ae,0.0746,18.39,0.04,-0.68,0.21,0.01,0.03,37.59,0.16
1992p,0.0265,16.03,0.09,0.70,0.58,-0.02,0.02,35.48,0.19
1990af,0.0499,17.75,0.05,-2.65,0.26,0.07,0.02,36.57,0.16
1990o,0.0306,16.19,0.08,0.39,0.29,-0.00,0.03,35.55,0.17
1992bk,0.0589,18.04,0.13,-2.11,0.32,-0.04,0.08,37.20,0.17
1992au,0.0603,18.12,0.11,-1.80,0.53,0.01,0.09,37.18,0.17
1992j,0.0461,17.70,0.09,-1.86,0.27,0.15,0.05,36.41,0.16
1991ag,0.0139,14.37,0.17,0.77,0.22,0.02,0.03,33.74,0.22
1991u,0.0324,16.40,0.09,0.23,0.22,0.11,0.03,35.48,0.17
1991s,0.0561,17.71,0.07,0.24,0.23,0.02,0.03,37.02,0.15
1990y,0.0387,17.38,0.08,-0.33,0.26,0.25,0.03,36.03,0.17
1990t,0.0397,17.18,0.07,-0.59,0.16,0.08,0.03,36.23,0.16
2001cz,0.0163,15.02,0.14,0.04,0.14,0.12,0.01,34.04,0.14
2001cn,0.0154,15.26,0.14,-0.79,0.12,0.22,0.01,33.94,0.15
2001bt,0.0144,15.26,0.15,-1.14,0.11,0.26,0.01,33.80,0.16
2001ba,0.0305,16.19,0.07,0.00,0.14,-0.04,0.01,35.60,0.09
2000ca,0.0245,15.53,0.09,0.35,0.20,-0.07,0.01,35.06,0.1
2000bh,0.024,15.92,0.10,-0.55,0.17,0.08,0.03,34.97,0.11
1999gp,0.026,16.00,0.09,1.64,0.21,0.06,0.02,35.37,0.11
1999dk,0.0139,14.81,0.16,0.29,0.27,0.11,0.02,33.88,0.17
1999cp,0.0104,13.93,0.21,-0.05,0.25,-0.01,0.02,33.27,0.22
1999cl,0.0087,14.81,0.25,-0.36,0.20,1.20,0.01,31.14,0.26
2000ce,0.0165,17.02,0.14,0.65,0.24,0.61,0.03,34.91,0.15
2000bk,0.0266,16.61,0.13,-2.72,0.24,0.05,0.06,35.48,0.11
1993ac,0.0489,17.72,0.08,-1.16,0.37,0.07,0.04,36.73,0.17
1994ae,0.0043,13.08,0.51,0.21,0.10,0.12,0.01,32.13,0.53
1994m,0.0243,16.27,0.09,-1.74,0.18,0.11,0.02,35.11,0.18
1994s,0.0152,14.76,0.14,0.23,0.27,0.00,0.02,34.10,0.22
1994t,0.0357,17.23,0.07,-2.03,0.20,0.13,0.03,35.96,0.17
1995ac,0.0488,17.03,0.05,0.57,0.14,0.02,0.01,36.38,0.16
1995ak,0.022,15.94,0.10,-1.53,0.20,0.09,0.03,34.85,0.19
1995al,0.005,13.29,0.43,0.64,0.19,0.15,0.02,32.32,0.46
1995bd,0.0144,15.25,0.18,0.54,0.13,0.34,0.01,33.80,0.24
1995d,0.0065,13.22,0.33,0.94,0.13,0.02,0.02,32.61,0.37
1995e,0.0117,16.68,0.19,-0.51,0.17,0.84,0.02,33.86,0.24
1996ab,0.1244,19.44,0.03,0.17,0.21,-0.11,0.02,39.04,0.16
1996ai,0.003,16.89,0.72,0.53,0.17,1.82,0.01,31.78,0.74
1996bk,0.0066,14.81,0.34,-2.86,0.37,0.56,0.06,32.41,0.38
1996bl,0.036,16.62,0.07,-0.09,0.18,0.04,0.02,35.82,0.17
1996bo,0.0163,15.82,0.13,-1.04,0.18,0.40,0.01,34.02,0.2
1996bv,0.0167,15.28,0.14,0.93,0.49,0.19,0.02,34.23,0.21
1996c,0.0275,16.59,0.08,0.39,0.19,0.12,0.02,35.65,0.18
1996x,0.007,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35
1996z,0.0086,14.24,0.25,-0.39,0.38,0.32,0.02,32.72,0.3
1993ae,0.018,15.13,0.17,-2.22,0.28,-0.13,0.06,34.49,0.21
1994q,0.0299,16.32,0.10,0.59,0.40,0.09,0.04,35.48,0.18
2000fa,0.0218,15.86,0.10,0.37,0.16,0.10,0.02,34.97,0.23
2000dk,0.0164,15.34,0.13,-2.60,0.29,0.06,0.02,34.18,0.25
2000cn,0.0232,16.57,0.10,-2.50,0.29,0.20,0.02,35.09,0.23
2000cf,0.0365,17.05,0.06,-1.12,0.17,0.04,0.02,36.13,0.22
1999gd,0.0193,16.91,0.12,-1.08,0.27,0.46,0.02,34.95,0.24
1999ek,0.0176,15.59,0.18,-1.08,0.15,0.17,0.01,34.34,0.27
1999ej,0.0128,15.36,0.20,-2.08,0.43,0.07,0.05,34.26,0.28
1999dq,0.0135,14.39,0.16,0.89,0.12,0.13,0.01,33.48,0.26
1999cc,0.0315,16.77,0.07,-1.89,0.28,0.05,0.02,35.73,0.23
1998es,0.0096,13.82,0.23,0.95,0.18,0.13,0.02,32.92,0.31
1998eg,0.0235,16.08,0.10,-0.79,0.35,0.05,0.02,35.17,0.23
1998ef,0.0167,14.80,0.13,-1.23,0.26,-0.02,0.02,34.00,0.25
1998dx,0.0537,17.58,0.05,-2.32,0.41,0.06,0.03,36.48,0.22
1998dh,0.0077,13.84,0.28,-1.03,0.18,0.13,0.02,32.71,0.35
1998co,0.017,15.65,0.14,-2.33,1.54,0.12,0.05,34.38,0.31
1998ab,0.0279,16.11,0.08,0.04,0.14,0.14,0.02,35.09,0.22
1998v,0.0172,15.07,0.14,-0.27,0.19,0.04,0.01,34.26,0.25
1997dt,0.0061,15.39,0.36,-0.61,0.27,0.56,0.02,33.24,0.42
1997do,0.0105,14.29,0.21,-0.38,0.27,0.11,0.02,33.29,0.3
1997dg,0.03,16.82,0.08,-0.84,0.28,0.02,0.02,35.97,0.22
1997bq,0.0096,14.42,0.23,-0.81,0.14,0.20,0.02,33.15,0.31
1997bp,0.0094,13.92,0.23,0.25,0.21,0.26,0.01,32.63,0.31
1997y,0.0166,15.31,0.13,-1.22,0.21,0.06,0.02,34.34,0.25
1997e,0.0133,15.09,0.17,-1.85,0.27,0.10,0.02,33.95,0.27
2000b,0.0201,15.68,0.16,-1.89,0.32,0.14,0.07,34.43,0.25
1999ef,0.038,17.03,0.08,0.35,0.36,0.00,0.02,36.38,0.22
1999cw,0.0113,14.01,0.36,-1.03,1.41,0.04,0.21,33.10,0.3
1999x,0.0258,16.23,0.14,-0.86,0.54,0.06,0.04,35.28,0.23
1998ec,0.0201,16.15,0.15,-0.22,0.57,0.22,0.05,34.88,0.24
1998dm,0.0056,14.62,0.40,0.41,0.36,0.32,0.04,33.20,0.44
1998dk,0.012,14.86,0.20,-0.30,0.55,0.26,0.05,33.50,0.28
1997cw,0.016,15.87,0.15,0.79,0.25,0.40,0.03,34.29,0.25
1999aa,0.015,14.69,0.15,0.91,0.10,-0.02,0.01,34.16,0.16
1999ac,0.0095,14.10,0.23,-0.30,0.06,0.08,0.01,33.18,0.24
1999ao,0.0544,17.88,0.05,-0.28,0.15,0.08,0.01,36.95,0.09
1999ar,0.1561,19.96,0.03,-0.51,0.26,-0.01,0.01,39.23,0.08
